Text-ID	Sentence-ID	Text
EN_023	15	“Today’s £650 million investment underlines our absolute commitment to the people and businesses of Northern Ireland as we move towards the end of the transition period,” Gove said.
EN_023	16	“Our new free-to-use Trader Support Service will provide vital support and guidance to traders, while our £300 million investment in reconciliation projects will help to preserve the huge gains from the peace process and the Belfast (Good Friday) Agreement.
EN_035	1	Cork council chief admits retrofitting schemes are 'bamboozling'
EN_035	2	The Government announced its €8bn National Retrofitting Scheme a year ago, aiming to upgrade 75,000 homes every year from 2026 to 2030, with an overall target of 500,000.
EN_035	3	It also targets the installation of 400,000 heat pumps in existing homes by 2030.
EN_035	4	According to Environment Minister Eamon Ryan's figures last month, almost 49,700 applications for heating upgrade support were submitted to the Sustainable Energy Authority of Ireland (SEAI) in 2022, a 150% increase on 2021 figures.
EN_035	5	"""Around 27,700 home energy upgrades were supported in 2022, exceeding the target of 26,940."
EN_035	6	"This represents a 79% increase in outputs year on year,"" he said."
EN_035	7	The Government announced its €8bn National Retrofitting Scheme a year ago, aiming to upgrade 75,000 homes every year from 2026 to 2030, with an overall target of 500,000 Picture: iStock.
EN_035	8	A target of 37,000 retrofits has been set for 2023, he added.
EN_035	9	"The nature of various schemes has been criticised anecdotally by would-be consumers as unwieldy and head-scratching at times, while TDs and senators have told Mr Ryan and SEAI officials at various Oireachtas hearings that there are not enough firms under the SEAI's ""one-stop shop"" model to cope with the demand."
EN_035	10	Mr Ryan told the Irish Examiner last month that the current low number of one-stop shops assigned by the SEAI to carry out the retrofitting programme would improve as the national programme gains momentum.
EN_035	11	He said: “They are ramping up, and they’re not small firms — this is the likes of ESB and Scottish and Southern [SSE] — they’re not companies without scaling-up capabilities.
EN_035	12	It does take time.
EN_035	13	“Last year was only the start, it was always a warming-up.
EN_035	14	We have delivered roughly the scale and speed that we expected.
EN_035	15	We will go this year to 37,000 houses being upgraded, and up again the year after that.
EN_035	16	"It’s delivering, the way I see it."""
EN_035	17	Cork City Council's chief executive said the retrofitting process could be made easier.
EN_035	18	"""There are a lot of schemes where we all get a bit bamboozled — if we could streamline it a bit,"" Ms Doherty told an audience of business and academic figures in Cork."
EN_035	19	Renovations and urgent phase-out of fossil fuels are needed to decarbonise heating in Europe, a new report from the European Environment Agency (EEA) said.
EN_035	20	"The need for retrofitting is now ""urgent"", the EEA said, with about half of the EU’s final energy consumption going on heating."
EN_035	21	Almost 80% of all household energy use relates to space and water heating, with over half of this energy being supplied by mostly gas, it added.
EN_035	22	"""In 2020, residential and industrial heating and cooling demand was only 10% below the average annual level seen from 2005 to 2009, despite the covid-19 pandemic having suppressed industrial activity and an exceptionally mild winter having lowered the heating needs in most of Europe’s buildings."
EN_035	23	"""This indicates sluggish progress in achieving a permanent reduction in heating and cooling needs,"" the report said."
EN_036	1	The strange link between the sterilization of wild horses and mRNA vaccines
EN_036	2	The pharmacological effect of the vaccination does not occur right away, but gradually over a period of 2-6 weeks, similar to the Covid vaccines from Moderna and Pfizer, and requires subsequent booster vaccinations. “
EN_036	3	The zona pellucida (ZP) is a glycoprotein membrane that surrounds all mammalian eggs.
EN_036	4	Certain proteins in the membrane serve as the sperm receptor.
EN_036	5	The contraceptive vaccine produced by the SCC uses the ZP from the pig, thus the name porcine zona pellucida (PZP).
EN_036	6	“Briefly, the PZP is produced by a complex process whereby the ZP is removed from the ovum, its glycoproteins extracted, isolated, and converted into a vaccine.
EN_036	7	The vaccine stimulates the target animal to produce antibodies, which attach to its own ZP, thus blocking fertilization and causing contraception.
EN_036	8	“The PZP vaccine is usually given, initially, in a series of 2 vaccinations 2-6 weeks apart and then a booster every 8 months to a year, depending on the species.
EN_036	9	The PZP is emulsified with an adjuvant to stimulate the animal’s immune system.”
EN_036	10	It is extracted from the ovaries of pigs which is used as a source of antigens for immunocontraception.
EN_036	11	Porcine zona pellucida has been used in wildlife contraception since the late 1980s.
EN_036	12	Animals with which PZP has been employed in this context include elephants, wild and/or feral horses, elk and white tailed deer.
EN_036	13	It can be administered to captured animals via a standard syringe or administered to free ranging wildlife with a dart gun.
EN_036	14	The initial contraceptive effect last for approximately one year in horses.
EN_036	15	From animal reproductive health to people?
EN_036	16	Coincidentally, Pfizer’s CEO Dr.
EN_036	17	Albert Bourla, is a trained veterinarian.
EN_036	18	He is a Doctor of Veterinary Medicine and holds a PhD in the Biotechnology of Reproduction from the Veterinary School of Aristotle University in Greece.
EN_036	19	He joined Pfizer in 1993 in its former Animal Health Division as technical director of Greece.
EN_036	20	He held positions of increasing responsibility within the Animal Health Division across Europe, before moving to Pfizer’s New York global headquarters in 2001.
EN_036	21	From 2014-16, Bourla served as group president of Pfizer’s global vaccines and oncology.
EN_036	22	“He was instrumental in building a strong and competitive position in oncology and expanding the company’s leadership in vaccines,” according to his
EN_036	23	Dr. Elizabeth Lee Vliet stated during the second Stop the Shot online conference streamed on August 19 by LifeSiteNews that peer-reviewed scientific research from 2012 and 2018 as well as evidence from whistle-blowers showed that the jabs damaged fertility and pregnancy.
EN_036	24	It was not being reported to the public.
EN_036	25	The vaccine nanoparticles “can pass through the blood-testis barrier, placental barrier, and epithelial barrier, which protect reproductive tissues,” she said.
EN_036	26	Human immune cells are thus “trained to attack” a protein vital to a successful pregnancy, as in the case of PZP.
EN_036	27	Vliet warned that this would lead to “miscarriages, birth defects, and infertility” when taking the jab.
EN_036	28	Dr. Michael Yeadon, a former vice president at Pfizer, has corroborated the claims, saying that the jabs pose a “severe risk” of infertility.
EN_036	29	Yeadon cited scientific research specifically on lipid nanoparticles, found in the shots.
EN_036	30	“Do not take these vaccines,” he warned.
EN_036	31	“There’s a severe risk to your ability to conceive and carry a baby to term.”
EN_036	32	Although the research into nanoparticle toxicity was conducted on animals, Yeadon argued that humans were also mammals and therefore at similar risk.
EN_036	33	“If someone wants to persuade me that they’re not concentrating in human ovaries, they are going to have to provide me with some data,” he said.
EN_036	34	The jab has also been correlated with thousands of reports of menstrual irregularities .
EN_036	35	Gynecologist Christiane Northrup warned in April this year that the Covid vaccine could cause infertility in women, because the protein Syncytin-1 present in the placenta was very similar to the Covid virus SARS-CoV-2’s spike protein.
EN_039	1	Bill Maher Is Right: It's The Left That Has Gotten More Radical
EN_039	2	Submitted by QTR's Fringe Finance
EN_039	3	The left is increasingly growing angry with Bill Maher for the comedian’s accurate, common sense take that Covid has become a hysteria in the country.
EN_039	4	For Bill, it’s a case of “better late than never” - he certainly wasn’t around criticizing the hysteria a year ago, as Adam Corolla pointed out this weekend: But hey, at least we know he has a learning curve On his show last week, Maher stunned many on the left by publicly reading off facts that are inconvenient to those pushing the Covid hysteria narrative.
EN_039	5	“I asked for the COVID deaths by state, this is per 100,000 people,” Maher said, according to The Daily Wire .
EN_039	6	“The worst is Mississippi.
EN_039	7	My home state New Jersey, four, fourth worst.
EN_039	8	New York, sixth worst.
EN_039	9	West Virginia and Massachusetts are 10 and 11, right together.
EN_039	10	Could there be two states who are more unalike than West Virginia and Massachusetts?
EN_039	11	And the poster boy for keeping s*** open was Florida, they’re down at 17.
EN_039	12	So New York and New Jersey did worse than Florida.
EN_039	13	He continued: “Florida is home to all the old people in America.
EN_039	14	What this is saying - Florida, like, stayed open.
EN_039	15	I mean, I was just in Florida.
EN_039	16	I’ve been there a few times since this started.
EN_039	17	The atmosphere is just different.
EN_039	18	I’m not moving to Florida, I’m not promoting Florida.
EN_039	19	I’m just saying AOC just went to Florida and had a good time without a mask.
EN_039	20	In fact, in proving that most of the right just seeks out common sense, Maher has said that “he’s become a ‘hero’ at Fox News because he’s willing to call out progressive leftists, who he says ‘have their head up their ass,’” according to Maher then accurately stated that it is the left that has changed, not him.
EN_039	21	“Let’s get this straight.
EN_039	22	It’s not me who changed — it’s the left, who is now made up of a small contingent who’ve gone mental, and a large contingent who refuse to call them out for it.
EN_039	23	But I will.
EN_039	24	That’s why I’m a hero at Fox these days.
EN_039	25	Which shows just how much liberals have their head up their a--, because if they really thought about it, they would have made me a hero on their media.”
EN_039	26	Today’s blog post has been published without a paywall because I believe the content to be far too important to deny to anyone.
EN_039	27	However, if you have the means and would like to support my work by subscribing, I’d be happy to offer you 22% off for 2022: And you know Maher is really onto something because he prompted this indignant meltdown by Whoopi Goldberg, who, by the end of her exasperated diatribe, doesn’t really even seem to remember what she was complaining about in the first place.
EN_039	28	Goldberg even places special emphasis on children, either knowingly or unknowingly trying to shoehorn her argument in, in favor of “the kids”, who are disproportionately not affected by Covid.
EN_039	29	But the facts, relative to the hysteria, once again don’t hold water.
EN_039	30	No one wants to trivialize the death of children, but the fact of the matter is that this hysteria we are trying to blanket 350 million Americans with is unwarranted.
EN_039	31	In 2018, by the CDC (I wonder why), almost 2,700 kids aged 1-14 (not 18) died of “unintentional injuries” .
EN_039	32	About 640 died from homicide and about 240 died from influenza and pneumonia .
EN_039	33	Another 6,800 people between the age of 10-24 died from suicide.
EN_039	34	Meanwhile, the American Academy of Pediatrics has said this year between 0.00%-0.02% of all child COVID-19 cases have resulted in death.
EN_039	35	That means that 99.98% to 100% of all child COVID-19 cases do not result in death.
EN_039	36	Throughout the entire pandemic - the millions and millions of cases logged over the course of almost two years, not one - 789 total children since the beginning of 2020 (and this counts up to 18 years old) have been counted as Covid deaths.
EN_056	1	Hungarian and Italian right-wing joined by love of European freedom, says Giorgia Meloni
EN_056	2	With Prime Minister Viktor Orbán we share the same views regarding the future and mission of Europe, which are also represented by the Oct. 23 national holiday, Fratelli d’Italia leader Giorgia Meloni told national news agency MTI on Thursday.
EN_056	3	“Together with Viktor Orbán, we believe that we need brave peoples like Hungary’s 1956 heroes fighting for freedom, who remind Europe of its true identity, because that is the only way to build a future,” Meloni said.
EN_056	4	She was attending the awarding of Pier Francesco Pingitore, the author of the Italian song “Avanti ragazzi di Buda”, which translates to “Go, boys of Buda”.
EN_056	5	The song, which became the anthem of the Italian right, was born in 1966, on the tenth anniversary of the October Revolution.
EN_056	6	Pingitore was awarded the Officer’s Cross of the Hungarian Order of Merit.
EN_056	7	The song has also become the unofficial anthem of the SS Lazio football team and the Italian right.
EN_056	8	“I always feel at home among Hungarians, not only because of the national flag of the same color and strong historical ties, but also because with Viktor Orbán we see the perspectives and mission of Europe in the same way, and this is included in the Hungarian national holiday on October 23rd,” Meloni said.
EN_056	9	She added that the young Italian people had been standing by the Hungarian freedom fighters with heart and soul for generations knowing that “the Hungarians had made sacrifices for the whole of Europe.
EN_056	10	The Europe that has been created through so many struggles to protect borders, to secure Europe’s roots, its identity, its values, must continue to prevail today,” Meloni added.
EN_056	11	“Today’s Europe, on the other hand, wants to be supranational sovereignty by restricting the freedom of its member states.
EN_056	12	That is why I think it is completely natural for the peoples of Europe to react when they want to shake that yoke off,” she said.
EN_056	13	Speaking earlier in the Italian Parliament, she said to Prime Minister Giuseppe Conte that Italy, as a vassal, was unable to defend itself, its independence, its freedom, its strategic interests, while other “less powerful nations like Hungary and Poland were raising their heads”.
EN_056	14	Giorgia Meloni called it unacceptable that the EU “blackmails” through its rule of law procedure Budapest and Warsaw, which protect their borders, roots and identity, attempting to deprive them of the resources of the Economic Recovery Fund.
EN_056	15	She once again thanked Prime Minister Viktor Orbán, who congratulated Meloni on her election as head of the European Conservatives and Reformists.
EN_056	16	“Together with Viktor Orbán, we believe that Europe needs brave peoples, reminding us that Europe is not Maastricht, not the Stability Pact, not all those oppressive bureaucracies, but a civilization to be defended because that is the only way to build a future,” Meloni said.
EN_056	17	She also recalled that the audience greeted Orbán completely spontaneously by singing “Avanti ragazzi di Buda” when he attended the right-wing meeting called Atreju in Rome last September.
EN_063	1	Ukrainian Artillery Reportedly Takes Out Russian Troops in Kherson Region
EN_063	2	Images purport to show Ukrainian troops taking out Russian soldiers in the Kherson region of southern Ukraine.
EN_063	3	The released footage appears to show Ukrainian artillery targeting entrenched Russian positions in the area.
EN_063	4	"It is unclear where exactly in the Kherson Oblast region of southern Ukraine the images were filmed but they were obtained Monday evening from the 36th Separate Marine Brigade, which is part of the Ukrainian Navy, and they said: ""The Nikolaev Marines are actively preparing to take part in the 'Kherson referendum'!"""
EN_063	5	The artillery of the Armed Forces of Ukraine reportedly destroyed Russian military positions in the Kherson region of Ukraine. 36th OBRMP/Zenger.
EN_063	6	"Iryna Vereshchuk, Ukraine's deputy prime minister and minister for Reintegration of the Temporarily Occupied Territories, has urged locals in the Kherson region to evacuate the area so as to help Ukrainian forces ""de-occupy"" the area."
EN_063	7	"She said: ""Please go because our army will definitely de-occupy these lands."
EN_063	8	Our will to do so is unwavering.
EN_063	9	And it will be very, very difficult to open a humanitarian corridor when there are children there.
EN_063	10	It was difficult in Mariupol, and in the Kherson region it will be even harder.
EN_063	11	"""Because the enemy learns, becomes even more cynical, and uses human shields, especially children."
EN_063	12	We will know that there are children there, and we will be powerless, and we really don't want that.
EN_063	13	Believe me, de-occupation will be very fast.
EN_063	14	"There will definitely be a counteroffensive."""
EN_063	15	"The 36th Separate Marine Brigade added that the footage shows how the ""art of the 36th Separate Marine Brigade named after Rear Admiral Mykhailo Bilynsky once again de-nazified the occupiers' command and observation post."""
EN_063	16	"They signed off by saying: ""Glory to the Marines!"""
EN_063	17	"The 36th Separate Marine Brigade, officially the ""Rear Admiral Mykhailo Bilynskyi 36th Separate Marine Brigade,"" was formed in 2015, mainly from Ukrainian marines who evacuated from Crimea following Russia's annexation of the peninsula in 2014."
EN_063	18	They were one of the two primary units - along with the Azov Battalion - that defended Mariupol until the
EN_063	19	"Russia invaded Ukraine on February 24 in what the Kremlin is calling a ""special military operation."""
EN_063	20	Tuesday marks the 118th day of the invasion.
EN_063	21	The General Staff of the Armed Forces of Ukraine reported that between February 24 and June 21, Russia had lost about 34,100 personnel, 1,496 tanks, 3,606 armored combat vehicles, 752 artillery units, 239 multiple launch rocket systems, 98 air defense systems, 216 warplanes, 181 helicopters, 611 drones, 137 cruise missiles, 14 warships, 2,537 motor vehicles and fuel tankers, and 59 units of special equipment.
EN_063	22	Russia conducted an anti-ship missile exercise in the Baltic Sea amid escalating tensions with NATO member Lithuania after the latter country blocked the transit of goods to the Russian exclave of Kaliningrad.
EN_063	23	Ukrainian forces have said that they have been successfully thwarting fresh Russian attempts to advance in the Kharkiv region of northeastern Ukraine.
EN_063	24	The new head of the British Army, General Sir Patrick Sanders, has told British forces that they need to be ready to face Russia on the battlefield and said the British Army now needs to be capable of defeating Russia.
EN_063	25	Ukrainian President Volodymyr Zelensky visited Ukraine's southern frontline as Ukrainian forces mount a counterattack in the region to push back Russian troops.
EN_063	26	NATO Secretary-General Jens Stoltenberg said that the war in Ukraine could last years, adding that while the costs were high, the cost of allowing Russia to achieve its military goals would be even greater.
EN_063	27	"Zelensky said that a ""historic week"" has begun as Kyiv awaits a decision from Brussels regarding its EU candidate status."
EN_063	28	The European Parliament adopted a resolution recommending that the European Union grant Ukraine the status of candidate country for EU membership.
EN_063	29	Some 438 Members of the European Parliament voted in favor of the resolution, with 65 voting against and 94 abstaining.
EN_063	30	Independent Russian journalist Dmitry Muratov has auctioned off his Nobel Peace Prize medal for $103.5 million, with all the proceeds going to help Ukrainian refugees.
EN_063	31	Muratov, 60, is the editor-in-chief of Russian independent newspaper Novaya Gazeta , which he co-founded in 1993.
EN_063	32	The paper has regularly defied numerous threats and covered themes that make the Kremlin uneasy.
EN_063	33	Novaya Gazeta has reported on Russian government corruption, human rights violations, and police violence as well as publishing articles that are critical of Putin.
EN_063	34	Muratov has been a vocal advocate for the freedom of the press and argued that it needs to remain independent from government influence.
EN_066	1	Russia Insists Embassy Staff Have Not Been Evacuated From Ukraine Amid Invasion Fears
EN_066	2	Russia has rejected a report that Moscow withdrew diplomatic staff from missions in Ukraine before international talks over a build up of Russian troops by Ukraine, as concerns grow over President Vladimir Putin 's intentions towards his neighbor.
EN_066	3	Citing an unnamed senior Ukrainian security official, The New York Times (NYT) reported that on January 5, 18 people mostly from the families of Russian diplomats, had departed Kyiv and returned to Russia by bus.
EN_066	4	Over the following days, 30 more staff reportedly followed, some of whom returned from the Russian consulate in Lviv, in western Ukraine, the NYT reported.
EN_066	5	"Last week, talks in Geneva, Brussels and Vienna between NATO , American and Russian officials over Moscow's military presence by Ukraine However, in a statement to Russian news agencies, Russia's foreign ministry dismissed the NYT 's claims, insisting that the Kyiv embassy was ""operating normally."""
EN_066	6	Moscow's statement, which made no mention of its consulate in Lviv, is unlikely to ease tensions amid reports that train convoys with tanks, missiles and troops are pushing west through Russia.
EN_066	7	The significance of the alleged thinning down embassy staff is unclear.
EN_066	8	It could send a message over the seriousness of Moscow's demands for a guarantee Ukraine never joins the alliance.
EN_066	9	It could also suggest an imminent attack was possible, which has been the message coming out of Washington, D.C. and other capitals.
EN_066	10	"Last week, White House press secretary Jen Psaki said U.S. intelligence is pointing to Russia staging a ""false flag"" attack as a pretext for an invasion , which Moscow has repeatedly said will not happen."
EN_066	11	Upping the ante was a cyber attack on Ukrainian government websites, which Kyiv blamed Moscow for.
EN_066	12	"Meanwhile, former U.S. ambassador to Ukraine, Bill Taylor, said he believed there is could lead to a ""major war."""
EN_066	13	It comes as Belarusian president Aleksandr Lukashenko reiterated his support for Putin, announcing Monday that Russian forces and equipment had started to arrive in western Belarus.
EN_066	14	Joint military exercises would be held by the borders of NATO members Poland and Lithuania, as part of Operation Allied Resolve starting February, Belarusian state news agency Belta reported.
EN_066	15	"Raising the prospect that a Belarusian role was part of Russia's calculus, Lukashenko said the ""drills should perfect plans to confront Western powersthe Baltics and Poland, and the southUkraine."""
EN_066	16	A senior Ukrainian official told the NYT that Kyiv believes the Russian troops deployed to Belarus would stay in place indefinitely, leaving Ukraine vulnerable to attack from the north, the east and the south.
EN_066	17	"Melinda Haring, deputy director of the Eurasia Center at the Atlantic Council think tank, said ""regrettably war is more likely."
EN_066	18	"We've reached a real impasse the Russian and US positions are irreconcilable."""
EN_066	19	However, she said U.S. intelligence had expected more Russian troops at this point, and the mild winter means that the ground isn't frozen, limiting the ability to move tanks easily.
EN_066	20	"Full-scale war remains ""a live option,"" Haring said in an analysis last week, but ""more likely Putin will strike Ukraine in a way short of war that will cause Europe to wring its hands but stop short of unleashing its harsh package of sanctions."""
EN_066	21	Newsweek has contacted the White House for comment.
EN_066	22	A Ukrainian Military Forces serviceman near Lugansk village, Donetsk region on January 11, 2022.
EN_066	23	Russia has rejected a report it withdrew diplomatic staff before international talks over its military buildup by Ukraine.
EN_067	1	Russian Military Mercenaries Deployed to Venezuela
EN_067	2	As Venezuela’s President Nicolas Maduro faces the biggest challenge to his rule since coming to power in 2013, Russia has quite literally come to the strongman leader’s defense.
EN_067	3	On Friday, Reuters reported that Kremlin-linked military contractors from the Wagner group had traveled to Venezuela in the past several days to provide security for Maduro.
EN_067	4	At least one source told Reuters that there were around 400 Russian military contractors in the country.
EN_067	5	After the head of Venezuela’s National Assembly, Juan Guaido, declared himself president of Venezuela on Wednesday, Russian officials have offered their full-throated support for the embattled Maduro.
EN_067	6	President Donald Trump and other leaders from the European Union and Canada, however, have recognized Guaido as Venezuela’s interim president and have backed the position of Venezuelan opposition leaders who say Maduro’s presidency is illegitimate.
EN_067	7	Maduro’s approval rating is currently hovering at around 20 percent, but experts say Russia is unlikely to give up its support for Maduro even if he faces widespread opposition at home.
EN_067	8	Moscow has continued to support Maduro even as he oversaw a severe economic decline that provoked a humanitarian and regional refugee crisis.
EN_067	9	“As the financial situation of the Venezuelan government became precarious due to a lack of oil profits, the Venezuelan leaders have been forced to look to other countries to bring in hard currency, and Russia has been all too eager to support a regime in Caracas that is anti-United States and has taken a number of actions to threaten the interests of not just the U.S. but other countries in the region,” Jason Marczak, director of the Adrienne Arsht Latin America Center at the Washington, D.C.
EN_067	10	-based Atlantic Council, told Newsweek.
EN_067	11	A member of Venezuela’s Bolivarian National Police Special Forces Group (FAES) takes position during an operation.
EN_067	12	Russia reportedly sent military contractors to protect Venezuela’s President Maduro as he faces challenges to his leadership.
EN_067	13	Luis Robayo/AFP/Getty Images.
EN_067	14	“Russia has gained a strong ally in the Americas as Russia looks to counter the U.S.
